"GUEST_ID";"COUNTRY_GUEST";"GENDER_ID";"AGE_RANGE";"LAST_2_YEARS_STAYS";"CONFIRMED_RESERVATIONS";"NUM_DISTINCT_HOTELS";"CONFIRMED_RESERVATIONS_ADR";"AVG_LENGTH_STAY";"AVG_BOOKING_LEADTIME";"AVG_SCORE";"RESERVATION_ID";"CHECKIN_DATE";"CHECKOUT_DATE";"HOTEL_ID";"GUEST_NAME";"EMAIL";"PHONE";"NATIONALITY"
"1010619685";"ES";"Femenino";"46-65";"1";"2";"2";"406.46";"3.00";"59.00";"4.0";"15";"2025-04-22";"2025-04-26";"041";"Irene Gil";"irene.gil@gmail.com";"+34 700 619 685";"Española"
"1019013464";"IT";"Femenino";"36-45";"1";"1";"1";"292.23";"3.00";"59.00";"8.0";"16";"2026-03-13";"2026-03-16";"247";"Paola Costa";"paola.costa@gmail.com";"+39 349 901 3464";"Italiana"
"1015873048";"PT";"Femenino";"26-35";"1";"1";"1";"94.17";"4.00";"65.00";"7.0";"17";"2025-02-03";"2025-02-07";"026";"Ana Lopes";"ana.lopes@gmail.com";"+351 91 587 3048";"Portuguesa"
"1015267928";"ES";"Femenino";"19-25";"1";"1";"1";"126.42";"1.00";"64.00";"8.0";"18";"2025-01-10";"2025-01-11";"243";"Julia Gil";"julia.gil@gmail.com";"+34 605 267 928";"Española"
"1018854169";"IT";"Femenino";"19-25";"1";"1";"1";"225.47";"2.00";"30.00";"8.0";"19";"2025-12-26";"2025-12-28";"026";"Paola Esposito";"paola.esposito@gmail.com";"+39 349 885 4169";"Italiana"
"1017897456";"PT";"Femenino";"36-45";"1";"1";"1";"242.68";"4.00";"70.00";"10.0";"20";"2025-09-10";"2025-09-14";"041";"Ana Silva";"ana.silva@gmail.com";"+351 91 789 7456";"Portuguesa"
"1019408431";"PT";"Femenino";"36-45";"1";"1";"1";"466.42";"1.00";"1.00";"5.0";"21";"2026-03-04";"2026-03-05";"247";"Beatriz Santos";"beatriz.santos@gmail.com";"+351 96 940 8431";"Portuguesa"
"1018801904";"PT";"Masculino";"46-65";"1";"1";"1";"119.70";"7.00";"60.00";"4.0";"22";"2025-12-19";"2025-12-26";"315";"Filipe Ribeiro";"filipe.ribeiro@gmail.com";"+351 91 880 1904";"Portuguesa"
"1016315019";"PT";"Masculino";"36-45";"1";"1";"1";"422.88";"2.00";"57.00";"9.0";"23";"2025-05-30";"2025-06-01";"011";"Miguel Almeida";"miguel.almeida@gmail.com";"+351 96 631 5019";"Portuguesa"
"1004674619";"ES";"Femenino";"19-25";"3";"5";"2";"273.37";"1.00";"7.20";"7.0";"24";"2025-11-15";"2025-11-16";"243";"Lucía Pérez";"lucia.perez@gmail.com";"+34 704 674 619";"Española"
"1019202900";"ES";"Masculino";"19-25";"1";"1";"1";"240.60";"1.00";"6.00";"8.0";"25";"2026-02-13";"2026-02-14";"243";"Álvaro Gil";"alvaro.gil@gmail.com";"+34 609 202 900";"Española"
"1018449824";"PT";"Masculino";">65";"1";"1";"1";"505.59";"4.00";"51.00";"8.0";"26";"2025-12-30";"2026-01-03";"243";"António Costa";"antonio.costa@gmail.com";"+351 91 844 9824";"Portuguesa"
"1013616575";"ES";"Femenino";"19-25";"1";"1";"1";"309.15";"1.00";"3.00";"5.0";"27";"2024-05-04";"2024-05-05";"243";"Lucía Navarro";"lucia.navarro@gmail.com";"+34 703 616 575";"Española"
"1014534690";"ES";"Masculino";">65";"1";"1";"1";"315.13";"2.00";"10.00";"9.0";"28";"2024-08-15";"2024-08-17";"208";"Diego Gómez";"diego.gomez@gmail.com";"+34 604 534 690";"Española"
"1017486911";"IT";"Masculino";"36-45";"1";"1";"1";"88.00";"2.00";"85.00";"9.0";"29";"2025-08-03";"2025-08-05";"011";"Paolo Rossi";"paolo.rossi@gmail.com";"+39 331 748 6911";"Italiana"
"1018436365";"PT";"Masculino";">65";"1";"1";"1";"228.04";"2.00";"93.00";"9.5";"30";"2025-11-05";"2025-11-07";"315";"Paulo Pinto";"paulo.pinto@gmail.com";"+351 92 843 6365";"Portuguesa"
"1015587355";"ES";"Masculino";"46-65";"1";"1";"1";"153.90";"2.00";"2.00";"8.0";"31";"2024-12-26";"2024-12-28";"255";"Alejandro Moreno";"alejandro.moreno@gmail.com";"+34 705 587 355";"Española"
"1015647249";"PT";"Femenino";"46-65";"1";"1";"1";"344.61";"2.00";"3.00";"7.0";"32";"2024-12-31";"2025-01-02";"315";"Maria Santos";"maria.santos@gmail.com";"+351 92 564 7249";"Portuguesa"
"1018770623";"PT";"Femenino";"36-45";"1";"1";"1";"122.30";"3.00";"30.00";"10.0";"33";"2025-12-15";"2025-12-18";"315";"Teresa Sousa";"teresa.sousa@gmail.com";"+351 96 877 0623";"Portuguesa"
"1015853478";"ES";"Femenino";"19-25";"1";"1";"1";"242.00";"2.00";"20.00";"8.0";"34";"2025-01-31";"2025-02-02";"011";"Julia Martínez";"julia.martinez@gmail.com";"+34 605 853 478";"Española"
"1017352380";"PT";"Femenino";"26-35";"1";"1";"1";"134.10";"3.00";"28.00";"8.0";"35";"2025-08-18";"2025-08-21";"255";"Maria Ferreira";"maria.ferreira@gmail.com";"+351 91 735 2380";"Portuguesa"
"1007094314";"PT";"Femenino";"19-25";"1";"2";"1";"151.37";"1.50";"5.50";"6.0";"36";"2024-04-28";"2024-04-29";"243";"Sofia Alves";"sofia.alves@gmail.com";"+351 93 709 4314";"Portuguesa"
"1015940055";"ES";"Masculino";"46-65";"1";"1";"1";"167.84";"4.00";"38.00";"9.5";"37";"2025-02-13";"2025-02-17";"281";"Pablo Domínguez";"pablo.dominguez@gmail.com";"+34 705 940 055";"Española"
"1015702788";"IT";"Femenino";"46-65";"1";"1";"1";"154.53";"3.00";"44.00";"9.0";"38";"2025-01-08";"2025-01-11";"231";"Silvia Giordano";"silvia.giordano@gmail.com";"+39 347 570 2788";"Italiana"
"1016075127";"PT";"Femenino";">65";"2";"2";"1";"136.50";"2.00";"63.00";"6.0";"39";"2025-03-02";"2025-03-05";"041";"Catarina Lopes";"catarina.lopes@gmail.com";"+351 96 607 5127";"Portuguesa"
"1017382324";"PT";"Femenino";"19-25";"1";"1";"1";"130.50";"2.00";"49.00";"7.0";"40";"2025-07-24";"2025-07-26";"011";"Sofia Ribeiro";"sofia.ribeiro@gmail.com";"+351 91 738 2324";"Portuguesa"
"1018982655";"ES";"Masculino";"46-65";"1";"1";"1";"185.00";"1.00";"1.00";"10.0";"41";"2026-01-08";"2026-01-09";"243";"Antonio Díaz";"antonio.diaz@gmail.com";"+34 708 982 655";"Española"
"1010221099";"ES";"Masculino";"26-35";"1";"2";"2";"140.31";"2.00";"15.00";"9.5";"42";"2023-02-04";"2023-02-06";"281";"Alejandro Domínguez";"alejandro.dominguez@gmail.com";"+34 700 221 099";"Española"
"1019673879";"ES";"Femenino";"26-35";"1";"1";"1";"268.26";"2.00";"70.00";"7.0";"43";"2026-04-02";"2026-04-04";"281";"Irene Domínguez";"irene.dominguez@gmail.com";"+34 709 673 879";"Española"
"1015950321";"PT";"Femenino";"19-25";"1";"1";"1";"165.91";"1.00";"81.00";"6.0";"44";"2025-02-14";"2025-02-15";"315";"Mariana Ferreira";"mariana.ferreira@gmail.com";"+351 92 595 0321";"Portuguesa"
"1017500387";"ES";"Masculino";"36-45";"1";"1";"1";"265.86";"3.00";"6.00";"8.0";"45";"2025-08-04";"2025-08-07";"315";"Antonio González";"antonio.gonzalez@gmail.com";"+34 707 500 387";"Española"
"1006174937";"ES";"Masculino";"36-45";"1";"2";"2";"135.75";"3.50";"8.00";"9.0";"46";"2024-09-01";"2024-09-06";"026";"Adrián García";"adrian.garcia@gmail.com";"+34 706 174 937";"Española"
"1019094169";"PT";"Masculino";"46-65";"1";"1";"1";"110.09";"3.00";"47.00";"10.0";"47";"2026-01-24";"2026-01-27";"026";"André Ribeiro";"andre.ribeiro@gmail.com";"+351 92 909 4169";"Portuguesa"
"1014768582";"ES";"Femenino";"46-65";"1";"1";"1";"166.33";"3.00";"3.00";"7.0";"48";"2024-09-09";"2024-09-12";"208";"Irene Torres";"irene.torres@gmail.com";"+34 604 768 582";"Española"
"1013471617";"PT";"Masculino";"26-35";"1";"1";"1";"207.00";"2.00";"20.00";"8.0";"49";"2024-08-22";"2024-08-24";"011";"Filipe Costa";"filipe.costa@gmail.com";"+351 92 347 1617";"Portuguesa"
"1007899011";"ES";"Masculino";"26-35";"1";"2";"2";"198.62";"1.00";"9.00";"8.0";"50";"2022-02-27";"2022-02-28";"243";"Fernando Rodríguez";"fernando.rodriguez@gmail.com";"+34 707 899 011";"Española"
"1007899014";"ES";"Femenino";"26-35";"1";"2";"2";"198.62";"1.00";"9.00";"8.0";"51";"2022-02-27";"2022-02-28";"243";"Sara Moreno";"sara.moreno@gmail.com";"+34 607 899 014";"Española"
"1014974075";"IT";"Femenino";"46-65";"1";"3";"2";"187.48";"1.33";"15.33";"6.0";"52";"2024-12-17";"2024-12-18";"041";"Lucia Rossi";"lucia.rossi@gmail.com";"+39 320 497 4075";"Italiana"
"1014618023";"IT";"Masculino";"19-25";"1";"1";"1";"255.19";"2.00";"56.00";"3.0";"53";"2024-08-23";"2024-08-25";"247";"Giovanni Bruno";"giovanni.bruno@gmail.com";"+39 347 461 8023";"Italiana"
"1018115558";"IT";"Femenino";"46-65";"1";"1";"1";"296.49";"2.00";"33.00";"9.0";"54";"2025-10-02";"2025-10-04";"315";"Monica Rizzo";"monica.rizzo@gmail.com";"+39 347 811 5558";"Italiana"
"1001025656";"ES";"Masculino";"46-65";"1";"2";"2";"203.26";"3.00";"18.50";"7.0";"55";"2018-03-15";"2018-03-18";"231";"Hugo González";"hugo.gonzalez@gmail.com";"+34 601 025 656";"Española"
"1016530069";"PT";"Femenino";"26-35";"1";"1";"1";"317.86";"1.00";"12.00";"7.0";"56";"2025-04-25";"2025-04-26";"208";"Ana Carvalho";"ana.carvalho@gmail.com";"+351 92 653 0069";"Portuguesa"
"1016530109";"PT";"Femenino";"26-35";"1";"1";"1";"317.86";"1.00";"12.00";"7.0";"57";"2025-04-25";"2025-04-26";"208";"Raquel Ribeiro";"raquel.ribeiro@gmail.com";"+351 92 653 0109";"Portuguesa"
"1019671446";"PT";"Femenino";"19-25";"1";"1";"1";"297.73";"5.00";"6.00";"9.0";"58";"2026-04-02";"2026-04-07";"041";"Mariana Ribeiro";"mariana.ribeiro@gmail.com";"+351 93 967 1446";"Portuguesa"
"1017215394";"ES";"Femenino";"19-25";"1";"1";"1";"266.49";"2.00";"59.00";"7.0";"59";"2025-07-07";"2025-07-09";"041";"Lucía Moreno";"lucia.moreno@gmail.com";"+34 607 215 394";"Española"
"1007899011";"ES";"Masculino";"26-35";"1";"2";"2";"198.62";"1.00";"9.00";"8.0";"60";"2025-12-19";"2025-12-20";"231";"Fernando Rodríguez";"fernando.rodriguez@gmail.com";"+34 707 899 011";"Española"
"1007899014";"ES";"Femenino";"26-35";"1";"2";"2";"198.62";"1.00";"9.00";"8.0";"61";"2025-12-19";"2025-12-20";"231";"Sara Moreno";"sara.moreno@gmail.com";"+34 607 899 014";"Española"
"1018218156";"ES";"Masculino";">65";"2";"2";"1";"170.20";"2.00";"26.00";"9.0";"62";"2025-11-06";"2025-11-08";"208";"David López";"david.lopez@gmail.com";"+34 608 218 156";"Española"
"1019370402";"IT";"Masculino";"46-65";"1";"1";"1";"195.65";"2.00";"55.00";"8.0";"63";"2026-02-27";"2026-03-01";"011";"Marco Esposito";"marco.esposito@gmail.com";"+39 340 937 0402";"Italiana"
"1003752586";"PT";"Femenino";"46-65";"1";"2";"1";"181.20";"1.50";"1.00";"8.0";"64";"2019-04-20";"2019-04-22";"208";"Ana Silva";"ana.silva@gmail.com";"+351 93 375 2586";"Portuguesa"
"1017838744";"PT";"Masculino";"46-65";"1";"1";"1";"231.06";"5.00";"42.00";"8.0";"65";"2025-09-04";"2025-09-09";"041";"Diogo Sousa";"diogo.sousa@gmail.com";"+351 91 783 8744";"Portuguesa"
"1012706996";"PT";"Femenino";"46-65";"3";"4";"2";"244.23";"3.75";"111.25";"8.5";"66";"2024-12-29";"2025-01-02";"247";"Maria Martins";"maria.martins@gmail.com";"+351 91 270 6996";"Portuguesa"
"1013545260";"IT";"Femenino";"26-35";"1";"1";"1";"194.97";"3.00";"2.00";"8.0";"67";"2024-04-26";"2024-04-29";"315";"Martina Bruno";"martina.bruno@gmail.com";"+39 320 354 5260";"Italiana"
"1013584674";"ES";"Femenino";"19-25";"1";"1";"1";"262.88";"1.00";"10.00";"2.0";"68";"2024-05-01";"2024-05-02";"243";"Paula Gómez";"paula.gomez@gmail.com";"+34 603 584 674";"Española"
"1009884845";"ES";"Masculino";"26-35";"1";"2";"2";"143.23";"2.50";"38.50";"9.0";"69";"2025-12-05";"2025-12-08";"315";"Fernando Martínez";"fernando.martinez@gmail.com";"+34 709 884 845";"Española"
"1014395679";"ES";"Femenino";"46-65";"4";"4";"1";"75.15";"1.50";"0.75";"5.0";"70";"2024-08-02";"2024-08-05";"255";"Pilar Fernández";"pilar.fernandez@gmail.com";"+34 704 395 679";"Española"
"1013530969";"PT";"Femenino";"36-45";"1";"1";"1";"247.75";"3.00";"1.00";"10.0";"71";"2024-04-25";"2024-04-28";"255";"Inês Sousa";"inês.sousa@gmail.com";"+351 92 353 0969";"Portuguesa"
"1002050340";"ES";"Femenino";"36-45";"1";"2";"2";"151.06";"3.50";"3.00";"9.0";"72";"2018-08-09";"2018-08-13";"041";"Isabel González";"isabel.gonzalez@gmail.com";"+34 602 050 340";"Española"
"1017402306";"ES";"Masculino";"19-25";"1";"1";"1";"91.35";"2.00";"1.00";"7.0";"73";"2025-07-25";"2025-07-27";"255";"Javier Ruiz";"javier.ruiz@gmail.com";"+34 607 402 306";"Española"
"1017658486";"PT";"Masculino";"46-65";"1";"1";"1";"137.60";"2.00";"1.00";"7.0";"74";"2025-08-19";"2025-08-21";"243";"André Teixeira";"andre.teixeira@gmail.com";"+351 93 765 8486";"Portuguesa"
"1016094371";"IT";"Femenino";"36-45";"1";"1";"1";"163.25";"4.00";"41.00";"6.0";"75";"2025-03-05";"2025-03-09";"243";"Roberta Marino";"roberta.marino@gmail.com";"+39 331 609 4371";"Italiana"
"1008189175";"ES";"Femenino";"46-65";"1";"3";"1";"244.30";"2.33";"42.00";"7.9";"76";"2022-04-22";"2022-04-25";"208";"Carmen Jiménez";"carmen.jimenez@gmail.com";"+34 708 189 175";"Española"
"1015721200";"ES";"Masculino";"36-45";"1";"1";"1";"194.80";"1.00";"26.00";"8.0";"77";"2025-01-11";"2025-01-12";"243";"Iván Navarro";"ivan.navarro@gmail.com";"+34 605 721 200";"Española"
"1015428618";"ES";"Femenino";"26-35";"1";"1";"1";"235.50";"1.00";"23.00";"10.0";"78";"2024-11-30";"2024-12-01";"243";"Rocío Ruiz";"rocio.ruiz@gmail.com";"+34 605 428 618";"Española"
"1018885005";"IT";"Femenino";"46-65";"2";"2";"2";"300.59";"2.50";"11.00";"7.0";"79";"2025-12-30";"2026-01-02";"247";"Ilaria Bianchi";"ilaria.bianchi@gmail.com";"+39 320 888 5005";"Italiana"
"1013308570";"ES";"Masculino";"26-35";"1";"2";"2";"306.02";"2.50";"40.50";"9.7";"80";"2024-11-30";"2024-12-01";"011";"Sergio Ruiz";"sergio.ruiz@gmail.com";"+34 603 308 570";"Española"
"1012907995";"ES";"Masculino";"46-65";"1";"2";"2";"192.53";"1.00";"124.00";"8.2";"81";"2024-01-31";"2024-02-01";"011";"Jorge Gómez";"jorge.gomez@gmail.com";"+34 702 907 995";"Española"
"1016075127";"PT";"Femenino";">65";"2";"2";"1";"136.50";"2.00";"63.00";"6.0";"82";"2025-03-05";"2025-03-06";"041";"Catarina Lopes";"catarina.lopes@gmail.com";"+351 96 607 5127";"Portuguesa"
"1002066717";"ES";"Masculino";">65";"1";"5";"1";"260.95";"1.00";"6.80";"7.0";"83";"2019-02-16";"2019-02-17";"243";"Alejandro Ramos";"alejandro.ramos@gmail.com";"+34 702 066 717";"Española"
"1019301218";"IT";"Femenino";">65";"2";"2";"1";"157.99";"1.50";"19.00";"8.708333333333332";"84";"2026-02-19";"2026-02-21";"026";"Roberta Ricci";"roberta.ricci@gmail.com";"+39 347 930 1218";"Italiana"
"1016773489";"IT";"Masculino";"36-45";"1";"1";"1";"252.99";"2.00";"8.00";"8.0";"85";"2025-05-21";"2025-05-23";"281";"Alessandro Ricci";"alessandro.ricci@gmail.com";"+39 349 677 3489";"Italiana"
"1015245921";"IT";"Masculino";"26-35";"1";"1";"1";"243.99";"2.00";"20.00";"8.0";"86";"2024-11-04";"2024-11-06";"281";"Lorenzo Marino";"lorenzo.marino@gmail.com";"+39 331 524 5921";"Italiana"
"1018808811";"PT";"Masculino";"36-45";"1";"1";"1";"198.99";"2.00";"111.00";"10.0";"87";"2025-12-20";"2025-12-22";"247";"Nuno Carvalho";"nuno.carvalho@gmail.com";"+351 96 880 8811";"Portuguesa"
"1014687307";"IT";"Femenino";">65";"1";"1";"1";"357.14";"7.00";"38.00";"10.0";"88";"2024-08-31";"2024-09-07";"231";"Lucia Romano";"lucia.romano@gmail.com";"+39 340 468 7307";"Italiana"
"1014514961";"ES";"Masculino";"19-25";"1";"1";"1";"243.25";"4.00";"82.00";"10.0";"89";"2024-08-13";"2024-08-17";"315";"Jorge Gil";"jorge.gil@gmail.com";"+34 704 514 961";"Española"
"1016064888";"ES";"Femenino";"36-45";"1";"1";"1";"121.04";"2.00";"39.00";"9.0";"90";"2025-03-01";"2025-03-03";"243";"Raquel Navarro";"raquel.navarro@gmail.com";"+34 606 064 888";"Española"
"1016064891";"ES";"Masculino";"36-45";"1";"1";"1";"121.04";"2.00";"39.00";"9.0";"91";"2025-03-01";"2025-03-03";"243";"Pablo Jiménez";"pablo.jimenez@gmail.com";"+34 706 064 891";"Española"
"1017274997";"PT";"Femenino";"36-45";"1";"1";"1";"89.09";"2.00";"33.00";"9.5";"92";"2025-07-13";"2025-07-15";"231";"Marta Lopes";"marta.lopes@gmail.com";"+351 92 727 4997";"Portuguesa"
"1017274998";"PT";"Masculino";"26-35";"1";"1";"1";"89.09";"2.00";"33.00";"9.5";"93";"2025-07-13";"2025-07-15";"231";"Miguel Fernandes";"miguel.fernandes@gmail.com";"+351 93 727 4998";"Portuguesa"
"1013847409";"PT";"Masculino";"26-35";"1";"1";"1";"286.50";"2.00";"71.00";"7.0";"94";"2024-05-31";"2024-06-02";"243";"Carlos Pinto";"carlos.pinto@gmail.com";"+351 92 384 7409";"Portuguesa"
"1010221099";"ES";"Masculino";"26-35";"1";"2";"2";"140.31";"2.00";"15.00";"9.5";"95";"2024-08-16";"2024-08-18";"243";"Alejandro Domínguez";"alejandro.dominguez@gmail.com";"+34 700 221 099";"Española"
"1007371220";"ES";"Masculino";"46-65";"1";"2";"2";"148.37";"3.00";"73.50";"10.0";"96";"2025-01-12";"2025-01-16";"231";"Rafael Álvarez";"rafael.alvarez@gmail.com";"+34 607 371 220";"Española"
"1004674619";"ES";"Femenino";"19-25";"3";"5";"2";"273.37";"1.00";"7.20";"7.0";"97";"2022-12-06";"2022-12-07";"281";"Lucía Pérez";"lucia.perez@gmail.com";"+34 704 674 619";"Española"
"1014566918";"IT";"Femenino";"19-25";"1";"1";"1";"330.53";"2.00";"49.00";"9.0";"98";"2024-08-18";"2024-08-20";"315";"Giulia Esposito";"giulia.esposito@gmail.com";"+39 347 456 6918";"Italiana"
"1013890717";"PT";"Masculino";"46-65";"1";"1";"1";"138.87";"3.00";"2.00";"9.0";"99";"2024-06-08";"2024-06-11";"208";"André Carvalho";"andre.carvalho@gmail.com";"+351 92 389 0717";"Portuguesa"
"1017893618";"ES";"Femenino";"46-65";"1";"1";"1";"381.59";"3.00";"97.00";"8.0";"100";"2025-09-10";"2025-09-13";"041";"Carmen Álvarez";"carmen.alvarez@gmail.com";"+34 607 893 618";"Española"
"1014279270";"ES";"Femenino";"26-35";"2";"2";"1";"107.76";"2.00";"109.00";"8.0";"101";"2024-07-23";"2024-07-24";"255";"Marta Rodríguez";"marta.rodriguez@gmail.com";"+34 604 279 270";"Española"
"1019042328";"IT";"Masculino";"26-35";"1";"1";"1";"117.33";"3.00";"204.00";"8.0";"102";"2026-01-17";"2026-01-20";"011";"Roberto Colombo";"roberto.colombo@gmail.com";"+39 347 904 2328";"Italiana"
"1017409116";"IT";"Femenino";"36-45";"1";"1";"1";"242.24";"1.00";"3.00";"8.0";"103";"2025-07-26";"2025-07-27";"315";"Martina Gallo";"martina.gallo@gmail.com";"+39 331 740 9116";"Italiana"
"1012706996";"PT";"Femenino";"46-65";"3";"4";"2";"244.23";"3.75";"111.25";"8.5";"104";"2026-01-11";"2026-01-14";"247";"Maria Martins";"maria.martins@gmail.com";"+351 91 270 6996";"Portuguesa"
"1019630853";"ES";"Masculino";"19-25";"1";"1";"1";"212.80";"1.00";"3.00";"9.0";"105";"2026-04-05";"2026-04-06";"243";"Marcos Gil";"marcos.gil@gmail.com";"+34 709 630 853";"Española"
"1014393564";"ES";"Masculino";">65";"1";"1";"1";"280.40";"3.00";"15.00";"2.0";"106";"2024-08-01";"2024-08-04";"208";"Alberto González";"alberto.gonzalez@gmail.com";"+34 604 393 564";"Española"
"1015755635";"IT";"Femenino";"46-65";"1";"1";"1";"206.48";"3.00";"13.00";"8.5";"107";"2025-01-17";"2025-01-20";"247";"Elena Esposito";"elena.esposito@gmail.com";"+39 320 575 5635";"Italiana"
"1013165610";"ES";"Masculino";"19-25";"2";"3";"2";"140.50";"2.00";"2.33";"5.5";"108";"2024-03-09";"2024-03-10";"255";"Hugo Ruiz";"hugo.ruiz@gmail.com";"+34 603 165 610";"Española"
"1007250708";"ES";"Femenino";"46-65";"2";"3";"2";"299.64";"2.33";"79.33";"9.0";"109";"2021-10-09";"2021-10-10";"243";"Patricia García";"patricia.garcia@gmail.com";"+34 607 250 708";"Española"
"1016518794";"IT";"Masculino";"46-65";"1";"1";"1";"215.80";"2.00";"1.00";"9.0";"110";"2025-04-24";"2025-04-26";"281";"Luca Bruno";"luca.bruno@gmail.com";"+39 349 651 8794";"Italiana"
"1015632862";"IT";"Femenino";"26-35";"1";"1";"1";"276.73";"5.00";"53.00";"9.0";"111";"2024-12-29";"2025-01-03";"231";"Daniela Ricci";"daniela.ricci@gmail.com";"+39 340 563 2862";"Italiana"
"1018340111";"PT";"Femenino";"46-65";"1";"1";"1";"194.90";"3.00";"61.00";"5.0";"112";"2025-10-25";"2025-10-28";"026";"Helena Gomes";"helena.gomes@gmail.com";"+351 96 834 0111";"Portuguesa"
"1009955073";"IT";"Femenino";">65";"1";"3";"1";"117.26";"3.33";"20.00";"9.8";"113";"2023-12-23";"2023-12-26";"041";"Ilaria Esposito";"ilaria.esposito@gmail.com";"+39 347 995 5073";"Italiana"
"1014974075";"IT";"Femenino";"46-65";"1";"3";"2";"187.48";"1.33";"15.33";"6.0";"114";"2025-11-25";"2025-11-26";"041";"Lucia Rossi";"lucia.rossi@gmail.com";"+39 320 497 4075";"Italiana"
"1018325275";"IT";"Femenino";"19-25";"1";"1";"1";"195.99";"1.00";"8.00";"9.0";"115";"2025-10-24";"2025-10-25";"026";"Monica Bianchi";"monica.bianchi@gmail.com";"+39 320 832 5275";"Italiana"
"1019639162";"ES";"Femenino";"26-35";"1";"1";"1";"166.09";"2.00";"40.00";"9.0";"116";"2026-03-30";"2026-04-01";"281";"Sara Romero";"sara.romero@gmail.com";"+34 609 639 162";"Española"
"1019477002";"IT";"Masculino";"26-35";"1";"1";"1";"235.87";"3.00";"112.00";"9.0";"117";"2026-03-13";"2026-03-16";"011";"Matteo Costa";"matteo.costa@gmail.com";"+39 340 947 7002";"Italiana"
"1019453177";"IT";"Femenino";">65";"1";"1";"1";"191.39";"3.00";"1.00";"6.0";"118";"2026-03-10";"2026-03-13";"041";"Martina Esposito";"martina.esposito@gmail.com";"+39 340 945 3177";"Italiana"
